id,nom,top,maitre,nat,nat1,title,sexe,mort,auction,auction1,start_year,img,total_amount,media1,surface,date,datesiecle,date20
39,ALMA-TADEMA Lawrence,0,0,Netherlands - Belgium,Pays-Bas - Belgique,The Finding of Moses,1,1,Sotheby’s NEW YORK,s-ny,2010,39.jpg,32000000,A,D,1904,20eme,1900
54,ALMA-TADEMA Lawrence,0,0,Netherlands - Belgium,Pays-Bas - Belgique,The Meeting of Antony and Cleopatra: 41 Bc,1,1,Sotheby’s NEW YORK,s-ny,2011,54.jpg,26000000,A,B,19th,19eme,none
3,BACON Francis,3,5,Great Britain,Grande-Bretagne,Triptych,1,1,Sotheby’s NEW YORK,s-ny,2008,3.jpg,77000000,A,D,1976,20eme,1970
13,BACON Francis,0,5,Great Britain,Grande-Bretagne,Untitled,1,1,Christie's LONDON,c-l,2008,13.jpg,46048250,A,B,1974-1977,20eme,1970
31,BACON Francis,0,5,Great Britain,Grande-Bretagne,Study of Nude with Figure in a Mirror,1,1,Sotheby’s LONDON,s-l,2008,31.jpg,35329440,A,D,1969,20eme,1960
37,BACON Francis,0,5,Great Britain,Grande-Bretagne,Three studies for portrait of Lucian Freud,1,1,Sotheby’s LONDON,s-l,2011,37.jpg,32957850,A,A,1964,20eme,1960
42,BACON Francis,0,5,Great Britain,Grande-Bretagne,Studies for Self-Portrait,1,1,Christie's LONDON,c-l,2008,42.jpg,30672180,A,A,1975,20eme,1970
56,BACON Francis,0,5,Great Britain,Grande-Bretagne,Study for a portrait,1,1,Christie's LONDON,c-l,2011,56.jpg,25536000,A,D,1953,20eme,1950
60,BACON Francis,0,5,Great Britain,Grande-Bretagne,Three Studies for Self-Portrait,1,1,Christie's NEW YORK,c-ny,2008,60.jpg,25000000,A,A,1976,20eme,1970
63,BACON Francis,0,5,Great Britain,Grande-Bretagne,Head of George Dyer,1,1,Sotheby’s LONDON,s-l,2008,63.jpg,24527730,A,A,1966,20eme,1960
74,BACON Francis,0,5,Great Britain,Grande-Bretagne,Studies for Self-Portrait,1,1,Christie's NEW YORK,c-ny,2011,74.jpg,22500000,A,A,1974,20eme,1970
105,BACON Francis,0,5,Great Britain,Grande-Bretagne,Three Studies for a Self-Portrait,1,1,Sotheby’s NEW YORK,s-ny,2011,105.jpg,17500000,A,A,1967,20eme,1960
182,BACON Francis,0,5,Great Britain,Grande-Bretagne,Figure in Movement,1,1,Sotheby’s NEW YORK,s-ny,2010,182.jpg,12500000,A,D,1985,20eme,1980
195,BACON Francis,0,5,Great Britain,Grande-Bretagne,Crouching Nude,1,1,Sotheby’s LONDON,s-l,2011,195.jpg,11825940,A,D,1961,20eme,1960
193,BASQUIAT Jean-Michel,0,0,USA,Etats-Unis,Boxer,1,1,Christie's NEW YORK,c-ny,2008,193.jpg,12000000,A,E,1982,20eme,1980
204,BASQUIAT Jean-Michel,0,0,USA,Etats-Unis,Palm Springs Jump,1,1,Christie's LONDON,c-l,2008,204.jpg,11365100,A,E,1982,20eme,1980
225,BASQUIAT Jean-Michel,0,0,USA,Etats-Unis,Fallen Angel,1,1,Phillips de Pury & Company NEW-YORK,autre,2008,225.jpg,10000000,A,E,1981,20eme,1980
265,BASQUIAT Jean-Michel,0,0,USA,Etats-Unis,Untitled,1,1,Sotheby’s LONDON,s-l,2008,265.jpg,9035480,A,A,1982-1983,20eme,1980
214,BONNARD Pierre,0,0,France,France,Terrasse à Vernon,1,1,Christie's LONDON,c-l,2011,214.jpg,10318080,A,C,1923,20eme,1920
246,BOURGEOIS Louise,0,0,France,France,Spider,2,1,Christie's NEW YORK,c-ny,2011,246.jpg,9500000,B,G,1996,20eme,1990
35,BRANCUSI Constantin,0,0,Romania,Autres,Madame L.R.,1,1,Christie's PARIS,c-p,2009,35.jpg,33274800,B,G,1914 1917,20eme,1910
166,BRANCUSI Constantin,0,0,Romania,Autres,Le premier cri,1,1,Christie's NEW YORK,c-ny,2011,166.jpg,13200000,B,F,1917,20eme,1910
242,BRUEGHEL Pieter II,0,0,Netherlands - Belgium,Pays-Bas - Belgique,The Battle between Carnival and Lent,1,1,Christie's LONDON,c-l,2011,242.jpg,9517830,A,D,1559,16eme,none
124,CAILLEBOTTE Gustave,0,0,France,France,Le pont d'Argenteuil et la Seine,1,1,Sotheby’s NEW YORK,s-ny,2011,124.jpg,16000000,A,B,1883,19eme,none
114,CÉZANNE Paul,0,0,France,France,Pichet et fruits sur une table,1,1,Sotheby’s LONDON,s-l,2010,114.jpg,16749600,A,A,1893-1894,19eme,none
254,CÉZANNE Paul,0,0,France,France,Environs de Gardanne,1,1,Sotheby’s NEW YORK,s-ny,2008,254.jpg,9300000,A,Z,1886,19eme,none
208,CHEN Yifei,0,0,China,Chine,Wind of Mountain Village,1,2,China Guardian  Beijing,autre,2011,208.jpg,10934000,A,E,1994,20eme,1990
179,CHIRICO de Giorgio,0,0,Italy,Italie,Il Ritornante,1,1,Christie's PARIS,c-p,2009,179.jpg,12542040,A,B,1918,20eme,1910
241,CHOU Ying,0,0,China,Chine,Landscape,1,1,Beijing Hanhai Art Auction,autre,2010,241.jpg,9529000,D,Z,16th,16eme,none
151,CUI Ruzhuo,0,0,China,Chine,Lotus,1,2,Christie’s HONG KONG,c-hk,2011,151.jpg,14113000,D,E,2011,21eme,2010
93,DALI Salvador,0,0,Spain,Espagne,Portrait de Paul Eluard,1,1,Sotheby’s LONDON,s-l,2011,93.jpg,19292400,A,A,1929,20eme,1920
36,DEGAS Edgar,0,0,France,France,Danseuse au repos,1,1,Sotheby’s NEW YORK,s-ny,2008,36.jpg,33000000,D,C,1879,19eme,none
67,DEGAS Edgar,0,0,France,France,Danseuses à la barre,1,1,Christie's LONDON,c-l,2008,67.jpg,23563200,A,A,1880,19eme,none
113,DEGAS Edgar,0,0,France,France,Petite danseuse de quatorze ans,1,1,Sotheby’s LONDON,s-l,2009,113.jpg,16809100,B,G,1879-1881,19eme,none
244,DEGAS Edgar,0,0,France,France,Danseuses,1,1,Christie's NEW YORK,c-ny,2009,244.jpg,9500000,D,A,1896,19eme,none
80,DERAIN André,0,0,France,France,Arbres à Collioure,1,1,Sotheby’s LONDON,s-l,2010,80.jpg,21513650,A,B,1905,20eme,1900
181,DERAIN André,0,0,France,France,Barques au port de Collioure,1,1,Sotheby’s NEW YORK,s-ny,2009,181.jpg,12500000,A,A,1905,20eme,1900
220,DUCHAMP Marcel,0,0,France,France,Belle haleine  Eau de violette,1,1,Christie's PARIS,c-p,2009,220.jpg,10110420,B,F,1921,20eme,1920
192,DYCK van Anthonius,0,0,Netherlands - Belgium,Pays-Bas - Belgique,Self Portrait,1,1,Sotheby’s LONDON,s-l,2009,192.jpg,12072360,A,A,17th,17eme,none
145,ERNST Max,0,0,Germany,Allemagne,The Stolen Mirror,1,1,Christie's NEW YORK,c-ny,2011,145.jpg,14500000,A,B,1941,20eme,1940
255,FAN Zeng,0,0,China,Chine,Figure,1,2,Beijing Jiuge Int. Auct. Co. BEIJING,autre,2011,255.jpg,9258000,D,B,1997,20eme,1990
264,FESHIN Nikolay,0,0,Russia,Russie,The Little Cowboy,1,1,Macdougall Arts Ltd. LONDON,autre,2010,264.jpg,9041620,A,A,1940,20eme,1940
102,FONTANA Lucio,0,0,Argentina,Sud,Concetto Spaziale  la fine di Dio,1,1,Sotheby’s LONDON,s-l,2008,102.jpg,18260160,A,D,1963,20eme,1960
178,FONTANA Lucio,0,0,Argentina,Sud,Concetto Spaziale  la fin di dio,1,1,Christie's LONDON,c-l,2008,178.jpg,12696000,A,D,1963,20eme,1960
197,FONTANA Lucio,0,0,Argentina,Sud,Concetto Spaziale  Attesa,1,1,Christie's LONDON,c-l,2008,197.jpg,11757000,A,D,1965,20eme,1960
43,FREUD Lucian,0,0,Great Britain,Grande-Bretagne,Benefits Supervisor Sleeping,1,1,Christie's NEW YORK,c-ny,2008,43.jpg,30000000,A,E,1995,20eme,1990
83,FREUD Lucian,0,0,Great Britain,Grande-Bretagne,Naked Portrait with Reflection,1,1,Christie's LONDON,c-l,2008,83.jpg,20912850,A,B,1980,20eme,1980
40,FU Baoshi,0,0,China,Chine,Landscapes,1,1,Beijing Hanhai Art Auction,autre,2011,40.jpg,31520000,D,A,1964/65,20eme,1960
203,FU Baoshi,0,0,China,Chine,Song of a pipa player,1,1,China Guardian  Beijing,autre,2011,203.jpg,11412000,D,B,1945,20eme,1940
253,GAINSBOROUGH Thomas,0,0,Great Britain,Grande-Bretagne,Portrait of Mrs. William Villebois  full-length,1,1,Christie's LONDON,c-l,2011,253.jpg,9325820,A,E,18th,18eme,none
227,GAUGUIN Paul,0,0,France,France,Jeune tahitienne,1,1,Sotheby’s NEW YORK,s-ny,2011,227.jpg,10000000,B,F,1893,19eme,none
256,GAUGUIN Paul,0,0,France,France,Le vallon,1,1,Christie's LONDON,c-l,2011,256.jpg,9216900,A,A,1892,19eme,none
218,GÉRICAULT Théodore,0,0,France,France,Portrait d’Alfred et Elisabeth Dedreux,1,1,Christie's PARIS,c-p,2009,218.jpg,10210400,A,B,1818,19eme,none
2,GIACOMETTI Alberto,2,3,Switzerland,Suisse,L'Homme qui marche I,1,1,Sotheby’s LONDON,s-l,2010,2.jpg,92521600,B,G,1960,20eme,1960
11,GIACOMETTI Alberto,0,3,Switzerland,Suisse,Grande tête mince,1,1,Christie's NEW YORK,c-ny,2010,11.jpg,47500000,B,F,1954,20eme,1950
64,GIACOMETTI Alberto,0,3,Switzerland,Suisse,Grande femme debout II,1,1,Christie's NEW YORK,c-ny,2008,64.jpg,24500000,B,G,1959-1960,20eme,1950
70,GIACOMETTI Alberto,0,3,Switzerland,Suisse,La Main,1,1,Christie's NEW YORK,c-ny,2010,70.jpg,23000000,B,F,1947,20eme,1940
98,GIACOMETTI Alberto,0,3,Switzerland,Suisse,Le Chat,1,1,Christie's NEW YORK,c-ny,2010,98.jpg,18500000,B,F,1951,20eme,1950
108,GIACOMETTI Alberto,0,3,Switzerland,Suisse,L’homme qui chavire,1,1,Sotheby’s NEW YORK,s-ny,2009,108.jpg,17200000,B,F,1950,20eme,1950
